sample_id,cluster_label,cat_a,cat_b,n01,n02,n03,n04,n05,n06,n07,n08,n09,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30
2,2,A,W,-4.820827560911027,-2.6253854176034377,27.89157805190927,1.5230409708312964,-5.77668679030158,-16.29852268452698,2.462937114846765,5.698794655203104,-11.77178933744331,-35.64000611149453,-9.76918789105082,27.225550476441285,11.386832682427965,-14.79840590426821,-24.153256898825123,-8.115438598673549,37.8272121260472,9.182300012394832,10.406209725900297,19.95949340003547,-48.26077536941899,9.313232223679933,12.32341126172956,55.08132514725026,-3.945605669338901,-0.2805399383369421,-0.1305829880216646,-7.3532052102243535,-2.942835580238661,1.4604768205822445
3,3,B,X,-2.6275730931357444,-25.063638707544392,-9.450011079168428,-8.344669045613738,22.371117911423383,-11.525848024236112,-43.76260705139576,-7.06321705868948,6.292939955766111,4.398892510708712,-4.2953955995323865,-17.219276601921084,-4.85819936971335,8.202210503345666,1.654672902279389,-11.68417290407585,-16.28562867713548,-3.1888261101561977,5.671304926736962,10.111227080749746,24.70066300958215,-25.466914699602757,-3.3986654682873665,-18.174540820932123,0.4382290233908221,3.1525561591575366,3.859282712539657,-2.6787687365686645,-2.213922732397627,-4.7246385799945685
4,2,C,Y,-11.415709767753432,-8.692169142945144,48.63616336419259,14.661825597661997,-39.63461794757304,10.769075462989848,40.18753617338272,-7.420308933131148,15.16605361639406,-0.5931481395301077,-1.3567624413509094,-20.18690857045416,33.01055505708881,-3.2557148776886784,19.50350069008468,0.7457872246643094,0.790124166195568,14.494465505982136,-15.670156601935222,10.059768145249606,-79.71038316339997,-13.69425291670645,41.57589175990883,-9.498640354962175,1.5296084423655028,-1.6413470853841696,3.500089742390486,3.1112574106412536,1.4752318394651036,-1.3216764621256574
6,2,F,Y,-11.494177957715324,-5.632114175958496,49.33253161731372,13.67548932691256,-39.22186524719947,11.170253627654068,42.31731826669896,-7.332410446384715,15.36897099253553,-0.388380391866443,0.1525599073169168,-15.476058781599964,32.75331775682615,-4.4674570866244725,19.10304462979987,1.250355335093193,0.664903096303382,14.45132390409568,-12.817380713083685,7.562309710447874,-77.38272087718533,-10.612933564922162,39.40824919662212,-7.439799395359728,-0.3466584648013828,-1.760742751942197,-4.634181697526268,-0.1804360725825628,-6.503819792374392,-0.7016603379589101
7,0,E,U,29.509838355644057,34.89830041091906,-22.253683988364283,0.5989438064392487,21.346213502563906,11.37153577881388,-13.18421907178722,22.40025668845574,-60.28765255321038,24.04985809340913,6.864309956566419,25.941121921135128,-38.280363945389865,32.57467310354006,-29.997417509020035,-26.70908712343312,-10.089079019686563,-2.905818978545737,6.984141938690925,1.5475197720740823,20.36248710154533,15.401255373509976,-17.545954324771568,19.33406900628681,-1.704103780725188,3.9285542338619615,5.608147735038698,-4.573261765371276,2.34524352771243,-2.0086750404630727
8,1,F,V,56.366752917058136,-2.7911859430980632,1.2643167297765383,45.26807622764687,-0.0661374198226467,31.75538525237597,12.780097188459164,-26.98753001961209,49.92993120232906,11.76748548646588,-8.768463361699155,-6.306441080218107,-46.32737464089517,17.300404323037835,6.750281249745866,34.49986701648103,27.09146122610499,-13.660579998405613,0.6629143183178599,-28.544124953198267,-4.186372665633122,10.040766060442024,18.30000514761666,-34.89913675091978,-1.436597572746284,-1.489693965056154,3.8872535978353406,-0.356854374778088,1.2554380603624835,-5.024669129978648
10,1,A,Z,41.64151052257827,-11.679203545740608,-5.130603058552612,29.66255992902733,8.627345035278504,3.4611906566694506,-7.12743003636179,-3.798011290780992,15.79780698058888,2.0712821646206097,-1.5007713513016938,-0.107126612769977,-38.64943209901398,16.37736445021801,-26.95054290455401,12.033474482252018,21.43818211267646,-6.555340559744103,-11.312014772504355,-2.495950664679674,8.153129234188244,1.853122031472644,-7.231874564379988,-9.945021176131185,-0.8340303890264364,-2.082721633446675,2.5754472039068825,2.1147850479487524,-5.402007887879535,4.747046726833022
11,0,E,U,33.99722002256603,39.69486503560944,-28.065150841988256,2.315130430991001,21.64342593146674,11.546406087522865,-13.58173836520062,20.644750375914995,-62.77302882876924,19.359005472114436,5.334645218208706,20.61015745012216,-32.68416783114415,30.24594682972725,-31.461694952834183,-25.24576518924317,-6.812994190102469,-5.586335382455962,-4.579988207176216,2.1036422071925056,29.958828428566267,15.701869561454512,-19.403383717885976,17.86682485061338,-1.6461600324468018,-0.6664437515363769,-2.655882116351002,-1.3095474133709704,-5.170520670258595,0.8609365361123149
12,2,A,W,-4.820889685774255,2.308250241386984,29.15825833470121,-8.49846356685496,0.1802855133527519,-13.518208373831222,2.3626545659088034,6.629680179783369,-19.79514513073532,-36.31270384080664,-5.424657213851653,29.304933297205917,14.393408122077377,-12.31975939180292,-21.34354612758991,-10.252295352045468,34.05267875634479,5.8130603233382185,14.237967307179357,20.84496184056671,-43.22817401742402,6.842582350987945,11.03628340437253,50.58299222429599,-1.932574959524404,-0.9676420668810336,2.9199054013737435,1.322240698592419,-0.0591957180879452,5.854988402581326
13,1,F,V,42.68743429682248,-12.649204099993767,-9.498756985132504,44.17242621912462,-6.6140439795653485,22.785479778629284,14.045412794073702,-20.20708154121513,50.84350094202007,13.07532109929632,-6.696726515017369,-11.713419475181691,-48.39094398930084,12.210238810034706,4.790338340973214,38.05270111844162,24.343678475536407,-10.808007359831592,-4.7719175880780575,-26.692317748401837,1.743801903678408,10.822138693033692,8.677690471528788,-32.736256171310046,-3.561085193422465,0.1495620501421996,3.76084378672464,4.523766124830061,-4.490538805342439,-2.2532236042342184
